day,threeday,humidity,stationname,time
21,100,134,A,
0,100,122,A,
7,28,54,A,2022-07-02 20:27:57
7,14,54,A,2022-07-02 21:00:28
7,21,54,B,2022-07-02 21:00:36
7,21,54,A,2022-07-02 21:00:41
7,21,54,A,2022-07-02 21:00:48
10,24,54,A,2022-07-02 21:00:59
10,27,54,C,2022-07-02 21:01:12
10,30,300,A,2022-07-02 21:01:30
10,30,300,A,2022-07-02 21:03:34
10,30,400,C,2022-07-02 21:03:40
100,120,400,B,2022-07-02 21:04:05
100,210,400,B,2022-07-02 21:10:38
10,210,300,A,2022-07-02 21:10:41
10,120,400,C,2022-07-02 21:10:42
10,30,400,C,2022-07-02 21:11:09
10,30,300,A,2022-07-02 21:11:10
10,30,300,A,2022-07-02 21:11:11
100,120,400,B,2022-07-02 21:11:13
30,140,700,C,2022-07-02 21:11:35
30,160,700,C,2022-07-02 21:16:53
100,160,400,B,2022-07-02 21:16:54
10,140,300,A,2022-07-02 21:16:55
10,120,300,A,2022-07-02 22:29:21
100,120,400,B,2022-07-02 22:29:23
30,140,700,C,2022-07-02 22:29:25
10,140,300,A,2022-07-02 22:31:13
100,140,400,B,2022-07-02 22:31:14
30,140,700,C,2022-07-02 22:31:15
30,160,700,C,2022-07-02 22:33:21
100,160,400,B,2022-07-02 22:33:22
10,140,300,A,2022-07-02 22:33:24
30,140,700,C,2022-07-03 09:06:16
10,50,300,A,2022-07-03 09:06:27
10,50,300,A,2022-07-03 09:06:46
10,30,300,A,2022-07-03 09:07:33
100,120,400,B,2022-07-03 09:07:43
100,210,400,B,2022-07-03 09:08:43
30,230,700,C,2022-07-03 09:08:46
100,230,400,B,2022-07-03 09:10:15
10,140,300,A,2022-07-03 09:10:19
30,140,700,C,2022-07-03 09:10:21
30,70,700,C,2022-07-03 09:11:37
10,70,300,A,2022-07-03 09:11:39
100,140,400,B,2022-07-03 09:11:42
10,120,300,A,2022-07-03 09:15:35
10,120,300,A,2022-07-03 09:16:33
10,30,300,A,2022-07-03 09:16:53
10,30,300,A,2022-07-03 09:27:51
100,120,400,B,2022-07-03 09:28:19
30,140,700,C,2022-07-03 09:28:24
30,160,1200,C,2022-07-03 09:29:10
30,90,1200,C,2022-07-03 09:29:55
30,90,1000,C,2022-07-03 09:30:11
30,90,1000,C,2022-07-03 10:59:51
100,160,400,B,2022-07-03 11:00:04
10,140,300,A,2022-07-03 11:00:10
10,120,300,A,2022-07-03 11:03:19
100,120,400,B,2022-07-03 11:03:21
30,140,1000,C,2022-07-03 11:03:27
30,160,1000,C,2022-07-03 11:04:08
100,1060,500,A,2022-07-03 11:04:54
100,2030,1000,A,2022-07-03 11:09:33
100,3000,200,B,2022-07-03 11:11:00
30,2030,700,C,2022-07-28 17:31:43
100,1130,400,B,2022-07-28 17:31:45
10,140,300,A,2022-07-28 17:31:48
10,120,400,C,2022-07-28 17:31:57
20,40,500,A,2022-07-28 17:32:07
60,90,600,B,2022-07-28 17:32:21
10,90,900,C,2022-07-28 17:33:01
10,80,100,C,2022-07-28 17:33:06
60,80,100,B,2022-07-28 17:33:39
60,130,800,B,2022-07-28 17:34:02
60,180,500,B,2022-07-28 17:34:02
60,180,500,B,2022-07-28 17:42:29
10,130,400,C,2022-07-28 17:42:35
20,90,500,A,2022-07-28 17:42:39
20,50,500,A,2022-07-28 17:44:13
10,50,400,C,2022-07-28 17:44:14
60,90,500,B,2022-07-28 17:44:16
60,130,500,B,2022-07-28 17:54:33
10,130,400,C,2022-07-28 17:54:33
20,90,500,A,2022-07-28 17:54:35
10,40,100,C,2022-07-28 17:55:11
10,40,100,C,2022-07-28 17:57:24
10,30,400,C,2022-07-28 17:57:27
10,30,900,C,2022-07-28 17:57:34
10,30,400,C,2022-07-28 17:57:55
10,30,100,C,2022-07-28 17:58:05
20,40,500,A,2022-07-28 17:58:13
20,50,800,A,2022-07-28 17:58:35
20,60,200,A,2022-07-28 17:58:50
60,100,500,B,2022-07-28 17:59:26
60,140,800,B,2022-07-28 17:59:42
60,180,50,B,2022-07-28 17:59:59
60,180,800,B,2022-07-28 18:00:57
60,180,400,B,2022-07-28 18:02:26
60,180,500,B,2022-07-28 18:02:31
60,180,100,B,2022-07-28 18:02:43
60,180,500,B,2022-07-28 18:04:17
60,180,400,B,2022-07-28 18:04:22
20,140,200,A,2022-07-28 18:04:28
10,90,100,C,2022-07-28 18:04:35
20,50,200,A,2022-07-29 17:02:15
10,40,100,C,2022-07-29 17:02:19
10,40,100,C,2022-07-29 17:05:17
20,40,200,A,2022-07-29 17:05:19
0,30,1024,C,2022-07-29 17:22:29
0,20,1024,C,2022-07-29 17:22:35
0,0,1024,C,2022-07-29 17:22:40
0,0,1024,C,2022-07-29 17:22:45
0,0,1024,C,2022-07-29 17:22:50
0,0,1024,C,2022-07-29 17:22:55
0,0,1024,C,2022-07-29 17:23:00
0,0,1024,C,2022-07-29 17:23:05
0,0,1024,C,2022-07-29 17:23:10
0,0,1024,C,2022-07-29 17:23:15
0,0,1024,C,2022-07-29 17:23:20
0,0,1024,C,2022-07-29 17:23:25
0,0,1024,C,2022-07-29 17:23:30
0,0,1024,C,2022-07-29 17:23:35
0,0,1024,C,2022-07-29 17:23:40
0,0,1024,C,2022-07-29 17:23:45
0,0,1024,C,2022-07-29 17:23:50
0,0,1024,C,2022-07-29 17:24:37
0,0,1024,C,2022-07-29 17:24:42
0,0,1024,C,2022-07-29 17:24:47
0,0,1024,C,2022-07-29 17:24:52
0,0,1024,C,2022-07-29 17:24:57
0,0,1024,C,2022-07-29 17:25:02
0,0,1024,C,2022-07-29 17:25:07
0,0,1024,C,2022-07-29 17:26:43
0,0,1024,C,2022-07-29 17:26:48
0,0,1024,C,2022-07-29 17:26:53
0,0,1024,C,2022-07-29 17:26:59
0,0,1024,C,2022-07-29 17:27:04
0,0,1024,C,2022-07-29 17:27:09
0,0,1024,C,2022-07-29 17:27:14
0,0,1024,C,2022-07-29 17:27:34
0,0,1024,C,2022-07-29 17:27:39
0,0,1024,C,2022-07-29 17:27:44
0,0,459,C,2022-07-29 17:53:31
0,0,458,C,2022-07-29 17:53:36
0,0,457,C,2022-07-29 17:53:41
0,0,461,C,2022-07-29 17:53:47
0,0,461,C,2022-07-29 17:53:52
0,0,460,C,2022-07-29 17:53:57
0,0,460,C,2022-07-29 17:54:02
0,0,459,C,2022-07-29 17:54:07
0,0,457,C,2022-07-29 17:54:12
0,0,457,C,2022-07-29 17:54:17
0,0,456,C,2022-07-29 17:54:22
0,0,454,C,2022-07-29 17:54:27
20,20,200,A,2022-07-29 17:54:31
0,20,454,C,2022-07-29 17:54:32
0,20,456,C,2022-07-29 17:54:37
60,60,400,B,2022-07-29 17:54:40
0,60,454,C,2022-07-29 17:54:42
0,60,448,C,2022-07-29 17:54:47
60,60,800,B,2022-07-29 17:54:49
0,60,452,C,2022-07-29 17:54:52
0,60,451,C,2022-07-29 17:54:57
60,60,500,B,2022-07-29 17:54:58
0,60,450,C,2022-07-29 17:55:02
0,60,450,C,2022-07-29 17:55:07
0,0,446,C,2022-07-29 17:55:13
0,0,449,C,2022-07-29 17:55:18
0,0,449,C,2022-07-29 17:55:23
0,0,446,C,2022-07-29 17:55:28
0,0,449,C,2022-07-29 17:55:33
0,0,448,C,2022-07-29 17:55:38
0,0,447,C,2022-07-29 17:55:43
0,0,447,C,2022-07-29 17:55:48
0,0,441,C,2022-07-29 17:55:53
0,0,447,C,2022-07-29 17:55:58
0,0,446,C,2022-07-29 17:56:03
0,0,447,C,2022-07-29 17:56:08
0,0,446,C,2022-07-29 17:56:13
0,0,445,C,2022-07-29 17:56:18
0,0,444,C,2022-07-29 17:56:23
0,0,444,C,2022-07-29 17:56:28
0,0,442,C,2022-07-29 17:56:33
0,0,441,C,2022-07-29 17:56:38
0,0,332,C,2022-07-29 17:56:44
0,0,386,C,2022-07-29 17:56:49
0,0,406,C,2022-07-29 17:56:54
0,0,415,C,2022-07-29 17:56:59
0,0,430,C,2022-07-29 17:57:04
0,0,429,C,2022-07-29 17:57:09
0,0,415,C,2022-07-29 17:57:14
0,0,414,C,2022-07-29 17:57:19
0,0,402,C,2022-07-29 17:57:24
0,0,397,C,2022-07-29 17:57:29
0,0,394,C,2022-07-29 17:57:34
0,0,391,C,2022-07-29 17:57:39
0,0,388,C,2022-07-29 17:57:44
0,0,385,C,2022-07-29 17:57:49
0,0,382,C,2022-07-29 17:57:55
0,0,379,C,2022-07-29 17:57:59
0,0,369,C,2022-07-29 17:58:05
0,0,375,C,2022-07-29 17:58:10
0,0,373,C,2022-07-29 17:58:15
0,0,372,C,2022-07-29 17:58:20
0,0,369,C,2022-07-29 17:58:25
0,0,368,C,2022-07-29 17:58:30
0,0,367,C,2022-07-29 17:58:35
0,0,366,C,2022-07-29 17:58:40
0,0,364,C,2022-07-29 17:58:45
0,0,358,C,2022-07-29 17:58:50
0,0,362,C,2022-07-29 17:58:55
0,0,362,C,2022-07-29 17:59:00
0,0,361,C,2022-07-29 17:59:05
0,0,355,C,2022-07-29 17:59:10
0,0,360,C,2022-07-29 17:59:15
0,0,358,C,2022-07-29 17:59:20
0,0,357,C,2022-07-29 17:59:25
0,0,350,C,2022-07-29 17:59:30
0,0,355,C,2022-07-29 17:59:35
0,0,354,C,2022-07-29 17:59:41
0,0,354,C,2022-07-29 17:59:46
0,0,346,C,2022-07-29 17:59:51
0,0,351,C,2022-07-29 17:59:56
0,0,350,C,2022-07-29 18:00:01
0,0,350,C,2022-07-29 18:00:06
0,0,349,C,2022-07-29 18:00:11
0,0,343,C,2022-07-29 18:00:16
0,0,348,C,2022-07-29 18:00:21
0,0,348,C,2022-07-29 18:00:26
0,0,346,C,2022-07-29 18:00:31
0,0,346,C,2022-07-29 18:00:36
0,0,340,C,2022-07-29 18:00:41
0,0,340,C,2022-07-29 18:00:46
0,0,339,C,2022-07-29 18:00:51
0,0,339,C,2022-07-29 18:00:56
0,0,344,C,2022-07-29 18:01:01
0,0,343,C,2022-07-29 18:01:07
0,0,343,C,2022-07-29 18:01:12
0,0,343,C,2022-07-29 18:01:17
0,0,342,C,2022-07-29 18:01:22
0,0,342,C,2022-07-29 18:01:27
0,0,336,C,2022-07-29 18:01:32
0,0,334,C,2022-07-29 18:01:37
0,0,340,C,2022-07-29 18:01:43
0,0,340,C,2022-07-29 18:01:47
0,0,340,C,2022-07-29 18:01:52
0,0,339,C,2022-07-29 18:01:57
0,0,339,C,2022-07-29 18:02:02
0,0,332,C,2022-07-29 18:02:07
0,0,331,C,2022-07-29 18:02:12
0,0,338,C,2022-07-29 18:02:17
0,0,337,C,2022-07-29 18:02:22
0,0,331,C,2022-07-29 18:02:27
0,0,330,C,2022-07-29 18:02:32
0,0,330,C,2022-07-29 18:02:38
0,0,336,C,2022-07-29 18:02:43
0,0,336,C,2022-07-29 18:02:48
0,0,334,C,2022-07-29 18:02:53
0,0,334,C,2022-07-29 18:02:58
0,0,334,C,2022-07-29 18:03:03
0,0,328,C,2022-07-29 18:03:08
0,0,332,C,2022-07-29 18:03:13
0,0,332,C,2022-07-29 18:03:18
0,0,332,C,2022-07-29 18:03:24
0,0,327,C,2022-07-29 18:03:28
0,0,331,C,2022-07-29 18:03:33
0,0,331,C,2022-07-29 18:03:38
0,0,330,C,2022-07-29 18:03:43
0,0,329,C,2022-07-29 18:03:48
0,0,309,C,2022-07-29 18:03:53
0,0,360,C,2022-07-29 18:03:58
0,0,374,C,2022-07-29 18:04:03
0,0,382,C,2022-07-29 18:04:09
0,0,379,C,2022-07-29 18:04:14
0,0,377,C,2022-07-29 18:04:19
0,0,368,C,2022-07-29 18:04:24
0,0,362,C,2022-07-29 18:04:29
0,0,355,C,2022-07-29 18:04:34
0,0,344,C,2022-07-29 18:04:39
0,0,346,C,2022-07-29 18:04:44
0,0,342,C,2022-07-29 18:04:49
0,0,339,C,2022-07-29 18:04:55
0,0,337,C,2022-07-29 18:04:59
0,0,333,C,2022-07-29 18:05:04
0,0,326,C,2022-07-29 18:05:09
0,0,328,C,2022-07-29 18:05:14
0,0,327,C,2022-07-29 18:05:19
0,0,326,C,2022-07-29 18:05:24
0,0,325,C,2022-07-29 18:05:29
0,0,318,C,2022-07-29 18:05:35
0,0,322,C,2022-07-29 18:05:40
0,0,316,C,2022-07-29 18:05:45
0,0,320,C,2022-07-29 18:05:50
0,0,320,C,2022-07-29 18:05:55
0,0,319,C,2022-07-29 18:06:00
0,0,318,C,2022-07-29 18:06:05
0,0,318,C,2022-07-29 18:06:10
0,0,310,C,2022-07-29 18:06:15
0,0,317,C,2022-07-29 18:06:20
0,0,316,C,2022-07-29 18:06:25
0,0,316,C,2022-07-29 18:06:30
0,0,316,C,2022-07-29 18:06:35
0,0,315,C,2022-07-29 18:06:40
0,0,314,C,2022-07-29 18:06:45
0,0,308,C,2022-07-29 18:06:50
0,0,313,C,2022-07-29 18:06:55
0,0,307,C,2022-07-29 18:07:00
0,0,312,C,2022-07-29 18:07:06
0,0,306,C,2022-07-29 18:07:11
0,0,310,C,2022-07-29 18:07:16
0,0,306,C,2022-07-29 18:07:21
0,0,310,C,2022-07-29 18:07:26
0,0,309,C,2022-07-29 18:07:31
0,0,309,C,2022-07-29 18:07:36
0,0,309,C,2022-07-29 18:07:41
0,0,309,C,2022-07-29 18:07:46
0,0,308,C,2022-07-29 18:07:51
0,0,308,C,2022-07-29 18:07:56
0,0,308,C,2022-07-29 18:08:01
0,0,302,C,2022-07-29 18:08:06
0,0,307,C,2022-07-29 18:08:11
0,0,307,C,2022-07-29 18:08:16
0,0,306,C,2022-07-29 18:08:21
0,0,303,C,2022-07-29 18:08:26
0,0,326,C,2022-07-29 18:08:31
0,0,334,C,2022-07-29 18:08:37
0,0,349,C,2022-07-29 18:08:42
0,0,354,C,2022-07-29 18:08:47
0,0,354,C,2022-07-29 18:08:52
0,0,352,C,2022-07-29 18:08:57
0,0,350,C,2022-07-29 18:09:02
0,0,348,C,2022-07-29 18:09:07
0,0,345,C,2022-07-29 18:09:12
0,0,342,C,2022-07-29 18:09:17
0,0,340,C,2022-07-29 18:09:22
0,0,338,C,2022-07-29 18:09:27
0,0,330,C,2022-07-29 18:09:32
0,0,330,C,2022-07-29 18:09:37
0,0,332,C,2022-07-29 18:09:42
0,0,331,C,2022-07-29 18:09:47
0,0,330,C,2022-07-29 18:09:52
0,0,324,C,2022-07-29 18:09:57
0,0,322,C,2022-07-29 18:10:03
0,0,327,C,2022-07-29 18:10:08
0,0,320,C,2022-07-29 18:10:13
0,0,324,C,2022-07-29 18:10:18
0,0,324,C,2022-07-29 18:10:23
0,0,324,C,2022-07-29 18:10:28
0,0,317,C,2022-07-29 18:10:33
0,0,322,C,2022-07-29 18:10:38
0,0,321,C,2022-07-29 18:10:43
0,0,316,C,2022-07-29 18:10:48
0,0,321,C,2022-07-29 18:10:53
0,0,316,C,2022-07-29 18:10:58
0,0,319,C,2022-07-29 18:11:03
0,0,312,C,2022-07-29 18:11:08
0,0,318,C,2022-07-29 18:11:13
0,0,316,C,2022-07-29 18:11:18
0,0,308,C,2022-07-29 18:11:24
0,0,308,C,2022-07-29 18:11:28
0,0,313,C,2022-07-29 18:11:34
0,0,313,C,2022-07-29 18:11:39
0,0,313,C,2022-07-29 18:11:44
0,0,306,C,2022-07-29 18:11:59
0,0,310,C,2022-07-29 18:12:04
0,0,310,C,2022-07-29 18:12:09
0,0,309,C,2022-07-29 18:12:14
0,0,309,C,2022-07-29 18:12:19
0,0,308,C,2022-07-29 18:12:24
0,0,309,C,2022-07-29 18:12:29
0,0,308,C,2022-07-29 18:12:34
0,0,308,C,2022-07-29 18:12:39
0,0,307,C,2022-07-29 18:12:44
0,0,301,C,2022-07-29 18:12:49
0,0,307,C,2022-07-29 18:12:54
0,0,301,C,2022-07-29 18:12:59
0,0,306,C,2022-07-29 18:13:05
0,0,306,C,2022-07-29 18:13:10
0,0,305,C,2022-07-29 18:13:15
0,0,304,C,2022-07-29 18:13:20
0,0,305,C,2022-07-29 18:13:25
0,0,304,C,2022-07-29 18:13:30
0,0,304,C,2022-07-29 18:13:35
0,0,303,C,2022-07-29 18:13:40
0,0,303,C,2022-07-29 18:13:45
0,0,303,C,2022-07-29 18:13:50
0,0,285,C,2022-07-29 18:13:55
0,0,306,C,2022-07-29 18:14:00
0,0,316,C,2022-07-29 18:14:06
0,0,328,C,2022-07-29 18:14:10
0,0,342,C,2022-07-29 18:14:16
0,0,346,C,2022-07-29 18:14:20
0,0,345,C,2022-07-29 18:14:25
0,0,345,C,2022-07-29 18:14:31
0,0,346,C,2022-07-29 18:14:36
0,0,345,C,2022-07-29 18:14:41
0,0,343,C,2022-07-29 18:14:46
0,0,339,C,2022-07-29 18:14:51
0,0,337,C,2022-07-29 18:14:56
0,0,336,C,2022-07-29 18:15:01
0,0,336,C,2022-07-29 18:15:07
0,0,329,C,2022-07-29 18:15:11
0,0,328,C,2022-07-29 18:15:16
0,0,333,C,2022-07-29 18:15:21
0,0,332,C,2022-07-29 18:15:26
0,0,331,C,2022-07-29 18:15:31
0,0,331,C,2022-07-29 18:15:36
0,0,330,C,2022-07-29 18:15:41
0,0,329,C,2022-07-29 18:15:46
0,0,329,C,2022-07-29 18:15:51
0,0,328,C,2022-07-29 18:15:56
60,60,500,B,2022-08-02 12:49:04
20,80,200,A,2022-08-02 12:49:09
20,100,200,A,2022-08-02 12:50:04
60,100,200,B,2022-08-02 12:50:20
60,140,200,B,2022-08-02 12:53:57
20,140,200,A,2022-08-02 12:54:04
60,140,200,C,2022-08-02 12:54:10
